Ontario
41
Ontario,Ajax—Pickering,Ajax—Pickering,Joe Dickson,Joe Dickson,Ontario Liberal Party,26149
Ontario,Ajax—Pickering,Ajax—Pickering,Jermaine King,Jermaine King,New Democratic Party of Ontario,8265
Ontario,Ajax—Pickering,Ajax—Pickering,Todd McCarthy,Todd McCarthy,Progressive Conservative Party of Ontario,15012
Ontario,Ajax—Pickering,Ajax—Pickering,Adam Narraway,Adam Narraway,Green Party of Ontario,1608
Ontario,Ajax—Pickering,Ajax—Pickering,Kyle Stewart,Kyle Stewart,Ontario Libertarian Party,301
Ontario,Algoma—Manitoulin,Algoma—Manitoulin,Richard Hadidian,Richard Hadidian,Ontario Libertarian Party,464
Ontario,Algoma—Manitoulin,Algoma—Manitoulin,Craig Hughson,Craig Hughson,Ontario Liberal Party,6504
Ontario,Algoma—Manitoulin,Algoma—Manitoulin,Michael Mantha,Michael Mantha,New Democratic Party of Ontario,14172
Ontario,Algoma—Manitoulin,Algoma—Manitoulin,Jib Turner,Jib Turner,Progressive Conservative Party of Ontario,4589
Ontario,Algoma—Manitoulin,Algoma—Manitoulin,Alexandra Zalucky,Alexandra Zalucky,Green Party of Ontario,828
Ontario,Ancaster—Dundas—Flamborough—Westdale,Ancaster—Dundas—Flamborough—Westdale,Raymond Dartsch,Raymond Dartsch,Green Party of Ontario,2620
Ontario,Ancaster—Dundas—Flamborough—Westdale,Ancaster—Dundas—Flamborough—Westdale,Alex Johnstone,Alex Johnstone,New Democratic Party of Ontario,8457
Ontario,Ancaster—Dundas—Flamborough—Westdale,Ancaster—Dundas—Flamborough—Westdale,Glenn Langton,Glenn Langton,Ontario Libertarian Party,418
Ontario,Ancaster—Dundas—Flamborough—Westdale,Ancaster—Dundas—Flamborough—Westdale,Ted McMeekin,Ted McMeekin,Ontario Liberal Party,23906
Ontario,Ancaster—Dundas—Flamborough—Westdale,Ancaster—Dundas—Flamborough—Westdale,Donna Skelly,Donna Skelly,Progressive Conservative Party of Ontario,18143
Ontario,Ancaster—Dundas—Flamborough—Westdale,Ancaster—Dundas—Flamborough—Westdale,Barry Spruce,Barry Spruce,Freedom Party of Ontario,246
Ontario,Barrie,Barrie,David Bradbury,David Bradbury,New Democratic Party of Ontario,7975
Ontario,Barrie,Barrie,Ann Hoggarth,Ann Hoggarth,Ontario Liberal Party,19915
Ontario,Barrie,Barrie,Rod Jackson,Rod Jackson,Progressive Conservative Party of Ontario,17667
Ontario,Barrie,Barrie,Bonnie North,Bonnie North,Green Party of Ontario,3018
Ontario,Barrie,Barrie,Darren Roskam,Darren Roskam,Ontario Libertarian Party,366
